00, ,-,01 
01,-,>,01 
01, ,*,02 
02,*,<,02 
02,-,<,02 
02,0,<,02 
02,1,<,02  
02,+,<,02 
02, ,>,03 
03,0, ,04 
03,1, ,08 
03, , ,12 
03,+, ,16 
03,-,>,20 
04, ,>,05 
05,0,>,05 
05,1,>,05  
05,+,>,05 
05,-,>,05 
05,*,>,05 
05, ,0,06 
06,0,<,06 
06,1,<,06  
06,+,<,06 
06,-,<,06 
06,*,<,06 
06, ,0,07 
07,0,>,03 
08, ,>,09 
09,0,>,09 
09,1,>,09  
09,+,>,09 
09,-,>,09 
09,*,>,09 
09, ,1,10 
10,0,<,10 
10,1,<,10  
10,+,<,10 
10,-,<,10 
10,*,<,10 
10, ,1,11 
11,1,>,03 
12, ,>,13 
13,0,>,13 
13,1,>,13  
13,+,>,13 
13,-,>,13 
13,*,>,13 
13, ,2,14 
14,0,<,14 
14,1,<,14 
14, ,<,14 
14,+,<,14 
14,-,<,14 
14,*,<,14 
15, ,>,03 
16, ,>,17 
17,0,>,17 
17,1,>,17  
17,-,>,17 
17,*,>,17 
17, ,+,18 
18,0,<,18 
18,1,<,18  
18,+,<,18 
18,-,<,18 
18,*,<,18 
18, ,+,19 
19,+,>,03 
20,0,>,20 
20,1,>,20  
20,+,>,20 
20,*,>,20 
20,o,>,20 
20,i,>,20 
20, ,<,21 
21,0, ,22 
21,1, ,24 
21, , ,28 
21,+, ,30
22,0,<,22 
22,1,<,22 
22, ,<,22 
22,+,<,23 
23,0,o,20 
23,1,i,20  
23,o,<,23 
23,i,<,23 
23, ,<,23  
24,0,<,24 
24,1,<,24 
24, ,<,24 
24,+,<,25 
25,0,i,20
25,o,<,25
25,i,<,25 
25,1,o,26   
26,o,<,26 
26,i,<,26 
26,*,1,20 
26,0,1,20
26,1,0,20 
26, ,0,27 
27,0,<,26  
28,0,<,28 
28,1,<,28 
28, ,<,28 
28,+,<,29 
29,o,<,29 
29,i,<,29  
29,0, ,20 
29,1,o,26 
29, ,i,26 
30,0,<,30 
30,1,<,30  
30,o,0,31 
30,i,1,31 
30, , ,31 
31,0,<,30 
31,1,<,30 
31, ,<,30 
30,-,>,32 
30,*, ,30 
32,0,>,33 
32,1,>,33  
32, ,>,34 
33,0,>,33 
33,1,>,33  
33, , ,33 
34,0, ,35 
34,1, ,38  
34, , ,34 
35, ,<,36 
36, ,0,37 
37,0,>,37 
37, ,>,34 
38, ,<,39 
39, ,1,40 
40,1,>,40 
40, ,>,34 
41, ,<,42 
42, , ,43  
43, ,>,34
